Tíðni	Orðmynd	Mark (Gull)	Mark (Nefnir)	Lemma (Gull)	Lemma (Nefnir)
1	förinn	x	ób-x	för	förinn
1	hæ-i	nheþ	no-hk-et-þgf	hæ	hæ-
1	baaææ	au	ób-uh	bæ	baaææ
1	findi	x	ób-x	finna	findi
1	K	nheþ	no-hk-et-þgf	K	k
1	Þrælastríðinu	nheþgs	no-hk-et-þgf-gr-s	Þrælastríð	Þrælastríðið
1	Krist-	nkeo-s	no-kk-et-þf-s	Kristur	Krist-
1	Heið-	lveosf	lo-kvk-et-þf-sb-fst	heiður	heið-
1	-rós	nveo	no-kvk-et-þf	rós	-rós
1	vindla-	kt	ób-sk	vindlareykingarmaður	vindla-
1	Fag	e	ób-e	fag	Fag
1	meira	lkeevm	lo-kk-et-ef-vb-mst	mikill	meira
1	minna	lkeevm	lo-kk-et-ef-vb-mst	lítill	minna
1	Feaka	nkfo-s	no-kk-ft-þf-s	Feaka	Feaki
1	getir	x	ób-x	geta	getir
1	notað	x	ób-x	nota	notað
1	svonefna	x	ób-x	svonefinn	svonefna
1	há-	aa	ao	há	há-
1	stafsetningar-	kt	ób-sk	stafsetningarregla	stafsetningar-
1	tví-	x	ób-x	tví	tví-
1	merkingar-	kt	ób-sk	merkingarkerfi	merkingar-
1	haust-	kt	ób-sk	haustskýrsla	haust-
1	kartöflu-	kt	ób-sk	kartöflubóndi	kartöflu-
1	Parísartískan	nvengs	no-kvk-et-nf-gr-s	Parísartíska	Parísartískan
1	þolmörkin	nhfng	no-hk-ft-nf-gr	þolmörk	þolmark
1	kyndir	sfg3fn	so-fh-gm-3p-ft-nt	kynda	kyndir
1	aðalhagfræðingu	x	ób-x	aðalhagfræðingur	aðalhagfræðingu
1	þolmarka	nhfe	no-hk-ft-ef	þolmörk	þolmark
1	Land	n----s	no-x-s	land	Land
1	bike-hjól	nhfn	no-hk-ft-nf	bikehjól	bike-hjól
1	Campache-héraði	nheþ-s	no-hk-et-þgf-s	Campachehérað	Campache-hérað
1	Hawksbill	e	ób-e	hawksbill	Hawksbill
1	Signature-golfvellir	nkfn-s	no-kk-ft-nf-s	Signature-golfvöllur	Signature-golfvellir
1	Signature-golfvelli	nkfo-s	no-kk-ft-þf-s	Signature-golfvöllur	Signature-golfvellir
1	Knattspyrna	nven-s	no-kvk-et-nf-s	knattspyrna	Knattspyrna
1	Eldvakinn	nkengs	no-kk-et-nf-gr-s	eldvaki	Eldvaki
1	Bókasafnslöggan	nvengs	no-kvk-et-nf-gr-s	bókasafnslögga	Bókasafnslögga
1	Furðuflug	nhen-s	no-hk-et-nf-s	furðuflug	Furðuflug
1	Duld	nven	no-kvk-et-nf	Duld	duld
1	Piparsveina-uppgjör	nhen	no-hk-et-nf	piparsveinauppgjör	Piparsveina-uppgjör
1	Jammmmm	au	ób-uh	jamm	jammmmm
1	Box	e	ób-e	box	Box
1	einhvejrum	lhfþsf	lo-hk-ft-þgf-sb-fst	einhver	einhvejr
1	Ungfrú	nven-s	no-kvk-et-nf-s	ungfrú	Ungfrú
1	anorexíu-faraldar	nkee	no-kk-et-ef	anorexíufaraldur	anorexíu-faröldur
1	átröskunnar	x	ób-x	átröskun	átröskunnar
1	133-X	x	ób-x	133-x	133-X
1	orðinn	x	ób-x	verða	orðinn
1	nánaru	x	ób-x	nánar	nánaru
1	GoldCliff-	n----s	no-x-s	GoldCliff	Goldcliff-
1	S.A.	e	ób-e	S.A	S.A.
1	DaKu	n----s	no-x-s	DaKu	Daku
1	Ltd.	e	ób-e	Ltd	Ltd.
1	Hoffmann-feðga	nkfe-s	no-kk-ft-ef-s	Hoffmannfeðgar	Hoffmann-feðgar
1	ímyndarsmíðinni	nveþg	no-kvk-et-þgf-gr	ímyndarsmíð	ímyndarsmíði
1	Hansen	nkeþ-s	no-kk-et-þgf-s	Hansen	Hansenur
1	Hansen	nkeo-s	no-kk-et-þf-s	Hansen	Hansenur
1	Eskimóar	nkfn-s	no-kk-ft-nf-s	Eskimói	Eskimóar
1	menningar-	kt	ób-sk	menningarþjóð	menningar-
1	Safnahúsið	nheogs	no-hk-et-þf-gr-s	Safnahús	Safnahúsið
1	komust	x	ób-x	koma	komust
1	kallan	x	ób-x	kalla	kallan
1	abstrakt	lhfnsf	lo-hk-ft-nf-sb-fst	abstrakt	abstraktur
1	konkret	lheosf	lo-hk-et-þf-sb-fst	konkret	konkreur
1	sameindundum	x	ób-x	sameindund	sameindundum
1	A	nheþ	no-hk-et-þgf	A	a
1	verulegar	x	ób-x	verulegur	verulegar
1	kemisk	x	ób-x	kemískur	kemisk
1	Jarðboranir	nvfn-s	no-kvk-ft-nf-s	Jarðborun	Jarðboranir
1	Bryggjuhverfið	nhengs	no-hk-et-nf-gr-s	bryggjuhverfi	Bryggjuhverfi
1	veitt	lheosf	lo-hk-et-þf-sb-fst	veiddur	veittur
1	maðurin	x	ób-x	maður	maðurin
1	Fjórðungssamband	x	ób-x	fjórðungssamband	Fjórðungssamband
1	skattborgarana	x	ób-x	skattborgari	skattborgarana
1	Atvinnuþróunarfélags	nhee-s	no-hk-et-ef-s	atvinnuþróunarfélag	Atvinnuþróunarfélag
1	McGrath	n----s	no-x-s	McGrath	Mcgrath
1	studd	x	ób-x	styðja	studd
1	breikbít-senunni	nveþg	no-kvk-et-þgf-gr	breikbítsena	breikbít-sena
1	breikbít-tónlistar	nvee	no-kvk-et-ef	breikbíttónlist	breikbít-tónlist
1	Breikbítið	nheng	no-hk-et-nf-gr	breikbít	breikbíti
1	hverning	x	ób-x	hvernig	hverning
1	Guðjohnsen	nkeo-s	no-kk-et-þf-s	Guðjohnsen	Guðjohnsenur
1	sagið	x	ób-x	segja	sagið
1	munum	svg1fn	so-vh-gm-1p-ft-nt	muna	munu
1	er	x	ób-x	en	er
1	fysta	x	ób-x	fyrstur	fysta
1	Handknattleikssambands	nhee-s	no-hk-et-ef-s	handknattleikssamband	Handknattleikssamband
1	höttunum	nkfþg	no-kk-ft-þgf-gr	höttur	hattur
1	GERARD	n----s	no-x-s	GERARD	Gerard
1	LEICESTER	n----s	no-x-s	LEICESTER	Leicester
1	STEVE	n----s	no-x-s	STEVE	Steve
1	BIRMINGHAM	n----s	no-x-s	BIRMINGHAM	Birmingham
1	STEFAN	n----s	no-x-s	STEFAN	Stefan
1	STOKE	n----s	no-x-s	STOKE	Stoke
1	kvenna-	kt	ób-sk	kvennanefnd	kvenna-
1	nýliðununum	x	ób-x	nýliði	nýliðununum
1	Brittania-leikvanginn	nkeogs	no-kk-et-þf-gr-s	Brittanialeikvangur	Brittania-leikvangur
1	Gees-stjarnan	nven-s	no-kvk-et-nf-s	Gees-stjarna	Gees-stjarnan
1	leik-	kt	ób-sk	leikkona	leik-
1	Sólheimunum	nkfþgs	no-kk-ft-þgf-gr-s	Sólheimur	Sólheimar
1	niðurstöð	x	ób-x	niðurstaða	niðurstöð
1	Gleðibankann	nkeogs	no-kk-et-þf-gr-s	gleðibanki	Gleðibanki
1	Hollywood-parið	nheng	no-hk-et-nf-gr	hollywoodpar	Hollywood-par
1	Hernaðarsögufélags	nhee-s	no-hk-et-ef-s	hernaðarsögufélag	Hernaðarsögufélag
1	allöngu	aa	ao	alllangur	allöngu
1	Rúnars	x	ób-x	Rúnar	Rúnars
1	hr	ks	ób-sk	hr.	hr
1	því	faheþ	fn-á-hk-et-þgf	það	sá
1	Skífan	nvengs	no-kvk-et-nf-gr-s	Skífa	Skífan
1	Reginalds	nveþ-s	no-kvk-et-þgf-s	Reginaldur	Reginalds
1	NASA	n-eþ-s	no-x-s	Nasa	NASA
1	MacDonald	n----s	no-x-s	MacDonald	Macdonald
1	margverðlaunað	lhensf	lo-hk-et-nf-sb-fst	margverðlaunaður	marggverðlaunaður
1	4ða	ta	to	4ður	4ða
1	heyranda	lheþvf	lo-hk-et-þgf-vb-fst	heyrandi	heyrandur
1	Þjóðviljinn	nkengs	no-kk-et-nf-gr-s	Þjóðvilji	Þjóðviljinn
1	15da	ta	to	15dur	15da
1	Dagblaðið	nheogs	no-hk-et-þf-gr-s	dagblað	Dagblaðið
1	Kjallarinn	nkengs	no-kk-et-nf-gr-s	Kjallari	Kjallarinn
1	raka-	kt	ób-sk	rakatæki	raka-
1	Eldjárn	nkeþ-s	no-kk-et-þgf-s	Eldjárn	Eldjárnur
1	Dagblaðið	nhengs	no-hk-et-nf-gr-s	Dagblað	Dagblaðið
1	gefizt	sþmhen	so-sagnb-mm	gefa	gefizt
1	Dagblaðinu	nheþgs	no-hk-et-þgf-gr-s	Dagblað	Dagblaðið
1	Valþjófsstaðahurðin	nvengs	no-kvk-et-nf-gr-s	Valþjófsstaðahurðin	Valþjófsstaðahurð
1	þeim	x	ób-x	sá	þeim
1	Íslenzk	lvensf	lo-kvk-et-nf-sb-fst	íslenskur	íslenzkur
1	píanó-	kt	ób-sk	píanóeigandi	píanó-
1	Loftleiðum	nvfþ-s	no-kvk-ft-þgf-s	Loftleið	Loftleiðir
1	hvílíkum	fovfþ	fn-ó-kvk-ft-þgf	hvílíkur	hvílík
1	Fákar	nkfn-s	no-kk-ft-nf-s	fákur	Fákur
1	íslenzka	lkeovf	lo-kk-et-þf-vb-fst	íslenskur	íslenzkur
1	21sta	ta	to	21stur	21sta
1	Kötlum	nkfþ-s	no-kk-ft-þgf-s	Ketill	Katlar
1	Ferðaskrifstofunnar	nveegs	no-kvk-et-ef-gr-s	Ferðaskrifstofa	Ferðaskrifstofan
1	systkinanna	nhfeg	no-hk-ft-ef-gr	systkin	systkini
1	ljóða-	kt	ób-sk	ljóðasöngur	ljóða-
1	augn-	kt	ób-sk	augnsvip	augn-
1	masters-	kt	ób-sk	mastersnám	masters-
1	tölvunar-	kt	ób-sk	tölvunarfræðinám	tölvunar-
1	líftækni-	kt	ób-sk	líftæknigeiri	líftækni-
1	hugbúnaðar-	kt	ób-sk	hugbúnaðargeiri	hugbúnaðar-
1	Kj	n----s	no-x-s	Kj.	Kj
1	vinsælli	lhenvm	lo-hk-et-nf-vb-mst	vinsæll	vinsælli
1	Bakarameistarans	nkeegs	no-kk-et-ef-gr-s	Bakarameistarinn	Bakarameistari
1	Húsgagnahöllinni	nveþgs	no-kvk-et-þgf-gr-s	húsgagnahöll	Húsgagnahöllin
1	Metro-fríblaðið	nheogs	no-hk-et-þf-gr-s	Metro-fríblað	Metro-fríblaðið
1	Metro-blöðum	nhfþ-s	no-hk-ft-þgf-s	Metro-blað	Metro-blöð
1	hægara	aam	ao-mst	hægara	hægt
1	framleiðslu-	kt	ób-sk	framleiðslufyrirtæki	framleiðslu-
1	einstöku	lveþof	lo-ób	einstakur	einstöku
1	fjármála-	kt	ób-sk	fjármálamarkaður	fjármála-
1	Straum-Burðarás	nkeo-s	no-kk-et-þf-s	Straumur-Burðarás	Straum-Burðarás
1	vikur	x	ób-x	vika	vikur
1	bankaleyfi	nheo-s	no-hk-et-þf-s	bankaleyfi	Bankaleyfi
1	Heimsviðskiptaráðstefnunnar	nveegs	no-kvk-et-ef-gr-s	heimsviðskiptaráðstefna	Heimsviðskiptaráðstefnan
1	Koðrabúðir	nvfn-s	no-kvk-ft-nf-s	Koðrabúð	Koðrabúðir
1	3661	ta	to	3661.	3661
1	Harmóniku-Bítlarnir	nkfngs	no-kk-ft-nf-gr-s	harmónikubítill	Harmóniku-Bítill
1	Smábæjarleikar	nkfn	no-kk-ft-nf	smábæjarleikur	smábæjarleiki
1	Húsfreyjanna	nvfegs	no-kvk-ft-ef-gr-s	Húsfreyja	Húsfrey
1	Hvalahátíð	nven-s	no-kvk-et-nf-s	hvalahátíð	Hvalahátíð
1	Bátahúsinu	nheþgs	no-hk-et-þgf-gr-s	bátahús	Bátahúsið
1	eyjarnnar	nveeg	no-kvk-et-ef-gr	eyja	eyjarnnar
1	Fiskidagurinn	nkengs	no-kk-et-nf-gr-s	fiskidagur	Fiskidagur
1	Berjadagar	nkfn-s	no-kk-ft-nf-s	berjadagur	Berjadagur
1	Íslandsmeistaramót	nhen-s	no-hk-et-nf-s	íslandsmeistaramót	Íslandsmeistaramót
1	sauna	n-eþ	no-x	sauni	sauna
1	Átthaga-	kt	ób-sk	átthagahátíð	Átthaga-
1	átthaga-	kt	ób-sk	átthagahátíð	átthaga-
1	Vorgleðihópurinn	nkengs	no-kk-et-nf-gr-s	Vorgleðihópur	Vorgleðihópurinn
1	Bæjum	nkfþ-s	no-kk-ft-þgf-s	Bær	Bæir
1	bygljujafnan	nveng	no-kvk-et-nf-gr	bylgjujafna	bygljujafna
1	stórsætt	lheosf	lo-hk-et-þf-sb-fst	stórsætur	stórsær
1	skársta	x	ób-x	skárri	skársta
1	hennir	x	ób-x	hún	hennir
1	Ólík	x	ób-x	ólíkur	Ólík
1	Margraheimatúlkunar	nvee-s	no-kvk-et-ef-s	margraheimatúlkun	Margraheimatúlkun
1	náttúruvísinda-	kt	ób-sk	náttúruvísindadeild	náttúruvísinda-
1	deus	n----s	no-x-s	deus	Deus
1	skóp	sfg3eþ	so-fh-gm-3p-et-þt	skópva	skapa
1	eðlisfræðirisa	nkfe	no-kk-ft-ef	eðlisfræðiris	eðlisfræðirisi
1	hinna	x	ób-x	hinn	hinna
1	Vesturlöndum	x	ób-x	Vesturlönd	Vesturlöndum
1	Jafnréttisstýru	nvee-s	no-kvk-et-ef-s	jafnréttisstýra	Jafnréttisstýra
1	dómsstiga	nhfe	no-hk-ft-ef	dómstig	dómsstig
1	-efni	nhfn	no-hk-ft-nf	málsefni	-efni
1	Íí	x	ób-x	í	Íí
1	Sjálfstæðismaður	nken-s	no-kk-et-nf-s	sjálfstæðismaður	Sjálfstæðismaður
1	Framsóknarmönnum	nkfþ-s	no-kk-ft-þgf-s	framsóknarmaður	Framsóknarmaður
1	menntuna	x	ób-x	menntun	menntuna
1	Spes-samtökunum	nhfþgs	no-hk-ft-þgf-gr-s	Spes-samtökin	Spes-samtök
1	SPRON	n-eþ-s	no-x-s	SPRON	Spron
1	Senegalferðina	nveogs	no-kvk-et-þf-gr-s	Senegalferðin	Senegalferð
1	Hugsanleg	x	ób-x	hugsanlegur	Hugsanleg
1	næstefst	aae	ao-est	næstefst	næstuppi
1	ráðuneytanns	x	ób-x	ráðuneyti	ráðuneytanns
1	rekstrar-	kt	ób-sk	rekstrarforsenda	rekstrar-
1	útlána-	kt	ób-sk	útlánaumsýsla	útlána-
1	eftirlits-	kt	ób-sk	eftirlitshlutverk	eftirlits-
1	Öryrkjabandalagsins	nheegs	no-hk-et-ef-gr-s	Öryrkjabandalagið	Öryrkjabandalag
1	-er	sfg3en	so-fh-gm-3p-et-nt	vera	-era
1	Íslandsferðum	nkfþ-s	no-kk-ft-þgf-s	Íslandsferðir	Íslandsferður
1	hvot	x	ób-x	hvort	hvot
1	engann	x	ób-x	enginn	engann
1	einsleyta	lvenvf	lo-kvk-et-nf-vb-fst	einsleitur	einsleytur
1	farþegalistan	x	ób-x	farþegalisti	farþegalistan
1	suma	x	ób-x	sumur	suma
1	greinninni	nveþg	no-kvk-et-þgf-gr	grein	greinn
1	virðast	x	ób-x	virða	virðast
1	sumrinn	x	ób-x	sumar	sumrinn
1	gluggan	x	ób-x	gluggi	gluggan
1	kunnáttu-	kt	ób-sk	kunnáttuleysi	kunnáttu-
1	fáanlega	x	ób-x	fáanlegur	fáanlega
1	aðein	x	ób-x	aðeins	aðein
1	kjarasamningsbundi	x	ób-x	kjarasamningsbundinn	kjarasamningsbundi
1	Anað	x	ób-x	annað	Anað
1	heyrnalausum	lkfþsf	lo-kk-ft-þgf-sb-fst	heyrnarlaus	heyrnalaus
1	V	ta	to	V	v
1	VI.	ta	to	vi.	VI.
1	óvissu-	kt	ób-sk	óvissuferð	óvissu-
1	VII.	ta	to	vii.	VII.
1	sögunar	x	ób-x	saga	sögunar
1	eyðsluháka	nkfþ	no-kk-ft-þgf	eyðsluhákur	eyðsluháka
1	undanþegnir	lkeþsf	lo-kk-et-þgf-sb-fst	undanþeginn	undanþegnir
1	kjartanssyni	nkee	no-kk-et-ef	Kjartansson	kjartanssyni
1	bókmenntafræ	x	ób-x	bókmenntafræðingur	bókmenntafræ
1	dj.rap	n----s	no-x-s	dj.rap	Dj.Rap
1	bentann	x	ób-x	benda	bentann
1	sindra	nkee	no-kk-et-ef	Sindri	sindri
1	masssssssaðar	lvfnsf	lo-kvk-ft-nf-sb-fst	massaður	masssssssaður
1	móu	nveo	no-kvk-et-þf	Móa	móa
1	eeeendilega	aa	ao	endilega	eeeendilega
1	thorvaldsen	n-eo	no-x	Thorvaldsen	thorvaldsen
1	varði	x	ób-x	verja	varði
1	þorsteinn	nken	no-kk-et-nf	Þorsteinn	þorsteinn
1	guðmundsson	nken	no-kk-et-nf	Guðmundsson	guðmundsson
1	elín	nven	no-kvk-et-nf	Elín	elín
1	shakira	n----s	no-x-s	shakira	Shakira
1	britney	n----s	no-x-s	britney	Britney
1	sheril	n----s	no-x-s	sheril	Sheril
1	crow	n----s	no-x-s	crow	Crow
1	celine	n----s	no-x-s	celine	Celine
1	dion	n----s	no-x-s	dion	Dion
1	kanada	x	ób-x	Kanada	kanada
1	flugina	x	ób-x	flug	flugina
1	dollars	e	ób-e	dollar	dollars
1	borgum	sfg3fn	so-fh-gm-3p-ft-nt	borga	borgum
1	greinininni	x	ób-x	grein	greinininni
1	virkilegra	x	ób-x	virkilegur	virkilegra
1	DaVinci	n----s	no-x-s	DaVinci	Davinci
1	Not	n----s	no-x-s	not	Not
1	Kristalla	x	ób-x	kristall	Kristalla
1	ákvaðum	x	ób-x	ákveða	ákvaðum
1	horfin	x	ób-x	hverfa	horfin
1	vodka	nkfo	no-kk-ft-þf	vodki	vodkur
1	Kók	nhee-s	no-hk-et-ef-s	kók	Kók
1	dr.mister	n----s	no-x-s	dr.mister	Dr.Mister
1	LATWP	n----s	no-x-s	LATWP	Latwp
1	sýkla-	kt	ób-sk	sýklavopn	sýkla-
1	andmælt	sþgvfn	so-lhþt-gm-kvk-ft-nf	andmæla	andmælt
1	Aungull	nken-s	no-kk-et-nf-s	öngull	Aungull
1	Alfreði	nkeþ-s	no-kk-et-þgf-s	Alfreð	Alfreður
1	elztu	lvfþve	lo-kvk-ft-þgf-vb-est	gamall	elztu
1	íslenzk	lhensf	lo-hk-et-nf-sb-fst	íslenskur	íslenzkur
1	komur	x	ób-x	koma	komur
1	o	ks	ób-sk	o.	o
1	líki	nheþ	no-hk-et-þgf	líki	lík
1	vísindamenn-	kt	ób-sk	vísindamaður	vísindamenn-
1	bókarinn	x	ób-x	bók	bókarinn
1	athyglis-	kt	ób-sk	athyglisverð	athyglis-
1	bernsku-	kt	ób-sk	bernskuminning	bernsku-
1	Austfjarðaþokunni	nveþgs	no-kvk-et-þgf-gr-s	Austfjarðaþoka	Austfjarðaþokan
1	Íslendingaslóðum	nvfþ-s	no-kvk-ft-þgf-s	Íslendingaslóð	Íslendingaslóðir
1	netkaplar	nkfn	no-kk-ft-nf	netkaplar	netkapall
1	innslegnu	lvfþvf	lo-kvk-ft-þgf-vb-fst	innslá	innsleginn
1	cd	ks	ób-sk	CD	cd
1	skraarnafn	x	ób-x	skáarnafn	skraarnafn
1	Linux-skel	nveo-s	no-kvk-et-þf-s	linux-skel	Linux-skel
1	Excel-skjöl	nhfo-s	no-hk-ft-þf-s	excel-skjal	Excel-skjal
1	mp3	ta	to	MP3	mp3
1	leshausanna	nkfog	no-kk-ft-þf-gr	leshaus	leshausanr
1	mörg	lhfþsf	lo-hk-ft-þgf-sb-fst	margur	mörg
1	UNIX	n----s	no-x-s	Unix	UNIX
1	mörgu	lhfesf	lo-hk-ft-ef-sb-fst	margur	mörgu
1	Berkeley-háskóla	nkeþ-s	no-kk-et-þgf-s	Berkeleyháskóli	Berkeley-háskóli
1	UNIX-ið	nhengs	no-hk-et-nf-gr-s	UNIX	UNIX-
1	Unix-lík	lhfnsf	lo-hk-ft-nf-sb-fst	unix-líkur	Unix-líkur
1	FreeBSD	n----s	no-x-s	FreeBSD	Freebsd
1	Intel-	kt	ób-sk	Intel-örgjörvi	Intel-
1	HI-starf	nheo	no-hk-et-þf	hi-starf	HI-starf
1	fanga	x	ób-x	fagna	fanga
1	sjóðin	x	ób-x	sjóður	sjóðin
1	Vogar	nkfn-s	no-kk-ft-nf-s	Vogur	Vogar
1	Skjaldakotslágar	nvfo-s	no-kvk-ft-þf-s	Skjaldakotslágar	Skjaldakotslág
1	Bátasafn	nheo-s	no-hk-et-þf-s	bátasafn	Bátasafn
1	Von	nveþ-s	no-kvk-et-þgf-s	von	Von
1	Bátasafni	nheþ-s	no-hk-et-þgf-s	bátasafn	Bátasafn
1	Frístundaskóla	nkeþ-s	no-kk-et-þgf-s	frístundaskóla	Frístundaskóli
1	bekkjarsystkinum	nhfþ	no-hk-ft-þgf	bekkjarsystkin	bekkjarsystkini
1	Áhugamannafélaginu	nheþgs	no-hk-et-þgf-gr-s	Áhugamannafélag	Áhugamannafélagið
1	hundra	x	ób-x	hundrað	hundra
1	haldin	x	ób-x	halda	haldin
1	Sjómannadagsráð	nhen-s	no-hk-et-nf-s	sjómannadagsráð	Sjómannadagsráð
1	póst-	kt	ób-sk	póststöðvarstjóri	póst-
1	83	ta	to	83.	83
1	menningar-	kt	ób-sk	menningarhátíð	menningar-
1	Ljósanótt	nveo-s	no-kvk-et-þf-s	ljósanótt	Ljósanótt
1	fiskbúðin	nveng	no-kvk-et-nf-gr	fiskbúðin	fiskbúð
1	Saltfisksetrinu	nheþgs	no-hk-et-þgf-gr-s	saltfisksetur	Saltfisksetur
1	Listsýningarsal	nkeþ-s	no-kk-et-þgf-s	listsýningarsalur	Listsýningarsalur
1	kvöld-	kt	ób-sk	kvöldlag	kvöld-
1	Ramma-húsið	nheogs	no-hk-et-þf-gr-s	Rammahús	Ramma-húsið
1	Mótokrossbrautinni	nveþgs	no-kvk-et-þgf-gr-s	mótokrossbraut	Mótokrossbraut
1	7.bekk	nkeþ	no-kk-et-þgf	7.bekk	7.bekkur
1	janúar-sept	ks	ób-sk	janúar-sept.	janúar-sept
1	Bókfært	lhensf	lo-hk-et-nf-sb-fst	bókfærður	bókfær
1	uppbyggingu	x	ób-x	uppbygging	uppbyggingu
1	Dvalar-	kt	ób-sk	dvalarheimili	Dvalar-
1	látta	x	ób-x	láta	látta
1	Íshafsvindurinn	nkeng	no-kk-et-nf-gr	Íshafsvindur	íshafsvindur
1	Íshafið	nhengs	no-hk-et-nf-gr-s	íshaf	Íshaf
1	öldunum	nvfþg	no-kvk-ft-þgf-gr	alda	öld
1	alsíðustu	lveþve	lo-kvk-et-þgf-vb-est	alsíðastur	alsíður
1	alversta	lhenve	lo-hk-et-nf-vb-est	alverstur	alslæmur
1	N	e	ób-e	n	N
1	W	e	ób-e	w	W
1	ofsoðið	lheosf	lo-hk-et-þf-sb-fst	ofsoð	ofsoðinn
1	XVI	ta	to	xvi	xv
1	X-munstrað	lheosf	lo-hk-et-þf-sb-fst	x-munstraður	X-munstraður
1	ratsjár-	kt	ób-sk	ratsjármastur	ratsjár-
1	Vírinn	nkengs	no-kk-et-nf-gr-s	Vír	Víri
1	inuítar	nkfn	no-kk-ft-nf	inúíti	inuítur
1	kostir	x	ób-x	kostur	kostir
1	sunnudags-	kt	ób-sk	sunnudagskvöld	sunnudags-
1	O'Connor	n----s	no-x-s	O	O'Connor
1	Mrs	n----s	no-x-s	Mrs.	Mrs
1	Afríku-	kt	ób-sk	Afríkuland	Afríku-
1	Barbie-útlit	nheo-s	no-hk-et-þf-s	barbie-útlit	Barbie-útlit
1	Indverski	lkensf	lo-kk-et-nf-sb-fst	indverskur	indverski
1	Bollywood-leikkonu	nveo-s	no-kvk-et-þf-s	Bollywoodleikkona	Bollywood-leikkona
1	B-hliðar	nvfn-s	no-kvk-ft-nf-s	b-hlið	B-hlið
1	Radiohead-vinir	nkfngs	no-kk-ft-nf-gr-s	Radiohead-vinur	Radiohead-vinir
1	D-12	ta	to	d-12	D-12
1	frum-	kt	ób-sk	frumlegur	frum-
1	allmennt	x	ób-x	almennt	allmennt
1	framkvæmastjóri	nken	no-kk-et-nf	framkvæmdastjóri	framkvæmastjóri
1	Íbúðalánasjóðs	nkee-s	no-kk-et-ef-s	íbúðalánasjóður	Íbúðalánasjóður
1	heilagrar	lvensf	lo-kvk-et-nf-sb-fst	heilagur	heilagrar
1	Kirkjugarðasamband	nheo-s	no-hk-et-þf-s	kirkjugarðasamband	Kirkjugarðasamband
1	Kirkegårds-	e	ób-e	Kirkegårdsspörsmål	Kirkegårds-
1	kynningar-	kt	ób-sk	kynningarnefnd	kynningar-
1	tómstunda	nhee	no-hk-et-ef	tómstund	tómstunda
1	rafrænu-	kt	ób-sk	rafrænn	rafrænu-
1	fulltrúá	x	ób-x	fulltrúi	fulltrúá
1	nottænu	x	ób-x	norrænn	nottænu
1	ólögráða	lhfesf	lo-hk-ft-ef-sb-fst	ólögráða	ólögráð
1	Aheit	x	ób-x	áheit	Aheit
1	visa-Raðgreiðslur	nvfo	no-kvk-ft-þf	visa-raðgreiðsla	visa-Raðgreiðsla
1	Landnámssetur	nhen-s	no-hk-et-nf-s	landnámssetur	Landnámssetur
1	Landnámssýning	nven-s	no-kvk-et-nf-s	landnámssýning	Landnámssýning
1	Luðvík	x	ób-x	Lúðvík	Luðvík
1	aðasstjórn	nkeþ	no-kk-et-þgf	aðalstjórn	aðasstjórnur
1	OgVodafone	n-en-s	no-x-s	OgVodafone	Ogvodafone
1	Síminn	nkengs	no-kk-et-nf-gr-s	sími	Sími
1	Líknar-	kt	ób-sk	líknarfélag	Líknar-
1	vinafélagið	nheng	no-hk-et-nf-gr	vinafélagið	vinafélag
1	Blindravinnustofan	nveng	no-kvk-et-nf-gr	blindravinnustofan	blindravinnustofa
1	Þrengslin	nhfog	no-hk-ft-þf-gr	Þrengslin	þrengsli
1	Prins	n-en-s	no-x-s	prins	Prins
1	neitt	x	ób-x	neyta	neitt
1	rútinni	x	ób-x	rúta	rútinni
1	Bergþórusystra	nvfe-s	no-kvk-ft-ef-s	Bergþórusystir	Bergþórusystur
1	Bergþórusystur	nvfn-s	no-kvk-ft-nf-s	Bergþórusystir	Bergþórusystur
1	UngBlindar	n-ee-s	no-x-s	Ungblind	Ungblindar
1	viðskiptamanna-	kt	ób-sk	viðskiptamannabókhald	viðskiptamanna-
1	Kyrrahafseyjunni	nveþgs	no-kvk-et-þgf-gr-s	Kyrrahafseyja	Kyrrahafseyjan
1	ólifað	lheosf	lo-hk-et-þf-sb-fst	ólifað	ólifaður
1	Waterworks-barnum	nkeþgs	no-kk-et-þgf-gr-s	Waterworks-bar	Waterworks-barinn
1	fjörtíu	tfhfo	to	fjörutíu	fjörtíu
1	mætti	svg1eþ	so-vh-gm-1p-et-þt	mæta	mega
1	Sundin	nhfogs	no-hk-ft-þf-gr-s	sund	Sundin
1	naktri	lveþsf	lo-kvk-et-þgf-sb-fst	nakinn	naktur
1	ákvarðanna	x	ób-x	ákvörðun	ákvarðanna
1	VEIIIII.	au	ób-uh	vei	veiiiii.
1	Bangsimon	nkeo-s	no-kk-et-þf-s	Bangsímon	Bangsimon
1	Frílinn	nkeogs	no-kk-et-þf-gr-s	Fríllinn	Fríll
1	afmælis-	kt	ób-sk	afmælisgjöf	afmælis-
1	ohhh	au	ób-uh	oh	ohhh
1	sprellalæf	lvenof	lo-ób	sprellalæfur	sprellalæf
1	fúllyndi	x	ób-x	fýllyndi	fúllyndi
1	heyrnalausa	lkfosf	lo-kk-ft-þf-sb-fst	heyrnarlaus	heyrnalaus
1	Heyrnalausir	lkfnsf	lo-kk-ft-nf-sb-fst	heyrnarlaus	heyrnalaus
1	heyrnalausir	lkfnsf	lo-kk-ft-nf-sb-fst	heyrnarlaus	heyrnalaus
1	ref	x	ób-x	refur	ref
